balanced_record_id,source_record_id,event_id,category,title,timestamp,region_id,region_row,region_col,latitude,longitude,primary_subarchetype,assigned_subarchetype,assigned_archetype,projection_weight
2B_01050,EONET_13387:0,EONET_13387,Floods,Flood in Peru 1103241,2025-04-27T20:00:00Z,r14_17,14,17,-5.9306,-77.2263,2B,2B,wide_shallow,0.4
2B_00271,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00662,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00666,EONET_13391:0,EONET_13391,Floods,Flood in New Zealand 1103245,2025-04-30T20:00:00Z,r07_58,7,58,-43.3111,172.3779,2B,2B,wide_shallow,0.4
2B_00926,EONET_13447:0,EONET_13447,Floods,Flood in Canada 1103248,2025-04-30T20:00:00Z,r23_16,23,16,52.213,-81.6825,2B,2B,wide_shallow,0.4
2B_00986,EONET_13391:0,EONET_13391,Floods,Flood in New Zealand 1103245,2025-04-30T20:00:00Z,r07_58,7,58,-43.3111,172.3779,2B,2B,wide_shallow,0.4
3B_00675,EONET_13446:0,EONET_13446,Floods,Flood in Malaysia 1103247,2025-04-30T20:00:00Z,r15_49,15,49,5.3317,116.1523,2B,3B,general,0.3
2B_00022,EONET_13465:0,EONET_13465,Floods,Flood in Afghanistan 1103252,2025-05-01T20:00:00Z,r21_41,21,41,36.804,71.3677,2B,2B,wide_shallow,0.4
1B_00604,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,1B,chain_like,0.25
1B_00892,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,1B,chain_like,0.25
3A_00550,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3A,general,0.2
3C_00093,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00106,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00147,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00210,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00359,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00372,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,3C,general,0.55
3C_00406,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00445,EONET_6288:24,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-02T00:00:00Z,r02_26,2,26,-73.06,-20.64,3C,3C,general,0.55
3C_00463,EONET_5906:36,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-02T00:00:00Z,r04_20,4,20,-64.16,-54.44,3C,3C,general,0.55
3C_00517,EONET_13367:1,EONET_13367,Sea and Lake Ice,Iceberg A23C,2025-05-02T00:00:00Z,r05_24,5,24,-56.76,-34.16,3C,3C,general,0.55
3C_00531,EONET_6051:4,EONET_6051,Sea and Lake Ice,Iceberg C39,2025-05-02T00:00:00Z,r04_45,4,45,-64.34,95.86,3C,3C,general,0.55
3C_00903,EONET_5906:36,EONET_5906,Sea and Lake Ice,Iceberg A77,2025-05-02T00:00:00Z,r04_20,4,20,-64.16,-54.44,3C,3C,general,0.55
3C_00927,EONET_10213:8,EONET_10213,Sea and Lake Ice,Iceberg B22G,2025-05-02T00:00:00Z,r02_03,2,3,-74.88,-156.3,3C,3C,general,0.55
3C_00941,EONET_6080:26,EONET_6080,Sea and Lake Ice,Iceberg A74A,2025-05-02T00:00:00Z,r04_21,4,21,-61.2,-51.1,3C,3C,general,0.55
3C_00952,EONET_6523:7,EONET_6523,Sea and Lake Ice,Iceberg A83,2025-05-02T00:00:00Z,r02_23,2,23,-77.15,-41.65,3C,3C,general,0.55
3C_00979,EONET_6288:24,EONET_6288,Sea and Lake Ice,Iceberg D32,2025-05-02T00:00:00Z,r02_26,2,26,-73.06,-20.64,3C,3C,general,0.55
