date,region_id,assigned_subarchetype,count
2025-04-27,r14_17,2B,1
2025-04-30,r07_58,2B,2
2025-04-30,r15_49,3B,1
2025-04-30,r23_16,2B,3
2025-05-01,r21_41,2B,1
2025-05-02,r02_03,3C,1
2025-05-02,r02_23,3A,1
2025-05-02,r02_23,3C,4
2025-05-02,r02_26,3C,2
2025-05-02,r04_20,3C,2
2025-05-02,r04_21,1B,1
2025-05-02,r04_21,3C,2
2025-05-02,r04_45,3C,5
2025-05-02,r05_24,1B,1
2025-05-02,r05_24,3C,3
2025-05-02,r12_23,3A,1
2025-05-02,r23_31,2B,1
2025-05-02,r23_33,2B,1
2025-05-03,r18_18,1B,1
2025-05-03,r20_35,3A,1
2025-05-03,r20_41,2B,2
2025-05-03,r22_30,2B,1
2025-05-05,r22_33,2B,1
2025-05-05,r22_33,3B,1
2025-05-08,r15_37,3A,1
2025-05-08,r17_48,2B,2
2025-05-08,r17_48,3A,1
2025-05-09,r02_03,3C,9
2025-05-09,r02_14,3A,1
2025-05-09,r02_14,3C,1
2025-05-09,r03_27,1B,1
2025-05-09,r03_27,3C,1
2025-05-09,r04_21,3C,4
2025-05-09,r04_44,3A,1
2025-05-09,r04_44,3C,4
2025-05-09,r04_45,1B,1
2025-05-09,r04_45,3C,3
2025-05-09,r05_24,3C,4
2025-05-09,r17_46,1B,1
2025-05-09,r17_46,3A,1
2025-05-09,r17_47,2B,1
2025-05-09,r21_29,1B,2
2025-05-11,r13_52,3B,1
2025-05-11,r13_53,1A,2
2025-05-11,r13_53,2A,1
2025-05-11,r13_53,2B,1
2025-05-11,r14_35,2B,1
2025-05-11,r14_35,3A,1
2025-05-11,r24_56,1A,1
2025-05-12,r17_19,2B,1
2025-05-13,r13_35,2B,1
2025-05-14,r14_49,2B,1
2025-05-14,r21_32,2B,2
2025-05-15,r18_47,1B,1
2025-05-15,r21_36,2B,1
2025-05-15,r21_36,3B,1
2025-05-16,r02_03,3C,1
2025-05-16,r02_14,3C,2
2025-05-16,r02_22,3C,1
2025-05-16,r04_21,3C,3
2025-05-16,r04_44,3C,4
2025-05-17,r15_30,2B,1
2025-05-17,r17_42,2B,1
2025-05-19,r22_32,2B,1
2025-05-20,r23_18,1B,1
2025-05-20,r23_18,2B,1
2025-05-22,r02_02,3C,1
2025-05-22,r02_03,1B,1
2025-05-22,r02_03,3A,1
2025-05-22,r02_03,3C,3
2025-05-22,r02_20,3A,1
2025-05-22,r02_20,3C,1
2025-05-22,r02_22,3C,2
2025-05-22,r03_20,1B,1
2025-05-22,r03_20,3C,3
2025-05-22,r04_21,3A,2
2025-05-22,r04_21,3C,6
2025-05-22,r04_45,3A,1
2025-05-22,r04_45,3C,4
2025-05-22,r16_46,2B,1
2025-05-24,r17_15,3A,1
2025-05-25,r09_19,2B,1
2025-05-26,r10_20,2B,1
2025-05-26,r22_34,1B,1
2025-05-27,r16_30,2B,3
2025-05-27,r16_30,3B,1
2025-05-27,r23_31,2B,2
2025-05-27,r23_31,3B,1
2025-05-29,r02_23,3C,5
2025-05-29,r02_24,1B,1
2025-05-29,r02_24,3C,2
2025-05-29,r02_25,3C,3
2025-05-29,r04_20,3A,1
2025-05-29,r04_20,3C,5
2025-05-29,r04_21,1B,1
2025-05-29,r04_21,3C,4
2025-05-29,r04_44,1B,1
2025-05-29,r04_44,3C,2
2025-05-29,r05_21,1B,1
2025-05-29,r05_21,3A,1
2025-05-29,r05_21,3C,2
2025-05-29,r17_12,2B,1
2025-05-29,r17_14,2B,1
2025-05-29,r17_14,3A,1
2025-05-29,r18_45,2B,3
2025-05-30,r17_11,2A,2
2025-05-30,r17_11,2B,1
2025-05-30,r17_11,3B,1
2025-05-30,r17_12,2B,1
2025-05-31,r12_17,2B,1
2025-05-31,r15_17,2B,1
2025-05-31,r18_11,2B,2
2025-05-31,r23_33,2B,3
2025-05-31,r23_33,3B,1
2025-06-01,r23_33,2B,1
2025-06-02,r21_36,1B,1
2025-06-02,r21_36,3A,1
2025-06-02,r21_36,3B,1
2025-06-05,r02_02,3A,1
2025-06-05,r02_02,3C,8
2025-06-05,r02_21,3C,1
2025-06-05,r02_23,3C,3
2025-06-05,r02_24,3A,1
2025-06-05,r02_24,3C,5
2025-06-05,r03_44,3C,4
2025-06-05,r04_21,1B,1
2025-06-05,r04_21,3C,1
2025-06-05,r04_44,3C,3
2025-06-05,r05_21,1B,1
2025-06-05,r05_21,3C,4
2025-06-05,r05_23,1B,1
2025-06-05,r05_23,3C,8
2025-06-05,r22_30,2B,1
2025-06-05,r22_30,3A,1
2025-06-08,r17_11,2A,1
2025-06-08,r17_11,2B,2
2025-06-08,r17_12,2A,2
2025-06-08,r17_13,1A,1
2025-06-08,r17_13,2B,1
2025-06-09,r17_11,1A,2
2025-06-09,r17_11,2B,3
2025-06-09,r17_11,3A,1
2025-06-09,r17_11,3B,1
2025-06-09,r17_12,1A,2
2025-06-09,r17_12,2A,1
2025-06-09,r17_12,2B,2
2025-06-09,r17_12,3A,1
2025-06-09,r17_12,3B,1
2025-06-10,r17_10,1A,1
2025-06-10,r17_10,2A,2
2025-06-10,r17_10,2B,3
2025-06-10,r17_10,3B,1
2025-06-10,r18_12,1A,1
2025-06-10,r18_12,2A,2
2025-06-11,r17_10,1A,1
2025-06-11,r17_10,2B,1
2025-06-11,r17_11,2A,1
2025-06-11,r17_11,3B,1
2025-06-11,r17_48,1A,1
2025-06-11,r17_48,2B,1
2025-06-11,r18_12,2B,1
2025-06-12,r02_02,3C,4
2025-06-12,r02_22,3C,4
2025-06-12,r02_23,3C,4
2025-06-12,r03_24,1B,1
2025-06-12,r03_24,3C,1
2025-06-12,r03_25,3C,3
2025-06-12,r04_20,1B,1
2025-06-12,r04_20,3A,1
2025-06-12,r04_20,3C,5
2025-06-12,r04_21,3C,2
2025-06-12,r05_23,3C,1
2025-06-12,r14_32,2B,1
2025-06-12,r17_48,2A,1
2025-06-12,r17_48,2B,2
2025-06-12,r17_48,3B,1
2025-06-13,r18_48,2A,1
2025-06-13,r18_48,3A,1
2025-06-13,r18_48,3B,1
2025-06-13,r23_31,1B,1
2025-06-14,r09_18,2B,2
2025-06-14,r10_21,2B,1
2025-06-14,r10_21,3A,1
2025-06-14,r17_12,2B,2
2025-06-14,r17_12,3A,1
2025-06-14,r18_13,1B,1
2025-06-14,r20_12,2B,1
2025-06-14,r22_32,2B,1
2025-06-15,r17_12,2B,1
2025-06-15,r18_12,1A,2
2025-06-15,r18_41,1B,1
2025-06-15,r18_41,3A,1
2025-06-17,r16_14,2B,1
2025-06-17,r17_14,2B,1
2025-06-17,r19_43,2B,2
2025-06-18,r17_13,2A,1
2025-06-18,r17_14,2A,1
2025-06-18,r17_14,3B,2
2025-06-19,r17_13,1A,1
2025-06-19,r17_13,2A,5
2025-06-19,r17_13,3A,1
2025-06-20,r02_02,3C,4
2025-06-20,r02_21,3C,2
2025-06-20,r02_23,1B,2
2025-06-20,r03_43,3C,5
